Temp,RH,NO2,NO,O3,SO2,PM2.5,Benzene,Toluene,CO,Xylene,NH3,PM10,target
15.8,42.4,165,140,1612,53.62,95.37,162,1,4.2,2,1,98.91,0
15.7,44.1,161,130,1697,61.31,141.3,150,1,4.2,2,2,98.23,0
15.3,46.8,159,138,1886,66.44,106.68,156,0,4.2,2,0,100.1,1
14.6,48.6,143,124,1624,75.8,109.48,175,0,3.1,2,2,148.04,1
14.7,49.3,130,140,1536,65.77,126.04,144,1,2.6,2,2,89,0
13.9,53.6,129,134,1535,50.98,71.22,158,0,2.9,2,1,50.12,1
14.6,51.5,119,134,1530,64.32,97.87,158,0,2.8,2,1,110.65,1
12.5,58.9,104,140,1337,79.71,63.38,163,0,2.5,1,1,139.31,0
11.6,63.4,-200,118,1278,46.89,75.29,126,0,2.4,2,3,118.95,0
12.1,61.1,82,150,1051,142.36,80.9,147,0,-200,1,0,106.26,0
11.5,63.1,70,138,929,96.28,103.29,173,0,1.2,2,4,153.39,1
11.6,62.2,63,120,872,57.34,107.5,170,0,1,2,0,181.39,1
10.4,67.6,67,120,853,51.58,161.14,170,0,0.9,2,0,199.34,1
11.6,62.7,84,140,959,62.42,102.58,165,0,1.4,2,0,195.84,1
12.4,60,83,174,1093,100.48,138.42,143,1,1.6,1,0,99.59,0
14.5,53.1,98,140,1225,40.36,129.04,160,0,2.2,0,2,50.03,0
16.9,46.1,114,144,1355,38.21,96.65,141,0,2.8,1,2,95.65,0
19.3,38.3,119,108,1262,26.32,126.77,167,0,2.8,2,0,160.82,1
21.2,31.4,104,124,980,35.54,106.15,163,0,2,2,0,175.24,1
21.4,30.2,102,140,872,87.43,86.31,144,1,1.8,2,2,184.48,0
21.9,29,107,120,900,66.39,83.99,144,1,1.9,0,0,117.04,0
22.2,28.4,129,128,1099,59.16,65.11,140,0,3,2,0,75.1,1
21.3,30.8,128,138,1206,34.53,51.03,152,1,2.9,1,0,143.82,1
19.7,36.7,121,128,1262,8.08,38.73,159,0,2.5,2,1,134.58,1
18.4,41.7,157,123,1698,17.66,61.12,95,1,4.6,1,2,184.17,0
17.6,46.1,173,110,1905,15.84,58.44,158,0,5.9,2,2,138.91,0
16.7,49.6,146,140,1648,25.9,61.49,116,0,3.4,1,0,151.31,1
16.3,51,121,122,1423,13.59,65.39,165,0,2.1,1,0,176.7,1
14.7,55.9,119,150,1349,41.06,100.92,173,0,2.2,2,1,182.75,1
14.8,54.7,99,108,1250,31.56,97.48,156,0,1.8,2,0,142.75,1
14,57,93,138,1174,46.6,129.27,156,0,1.8,2,0,119.98,1
13.4,61.3,88,118,1149,79.56,129.58,190,0,1.8,1,0,164.31,1
12.6,63.5,-200,110,1021,50.09,100.57,118,1,1.1,1,1,142.29,0
12.3,65.4,71,140,1013,13.85,130.34,173,1,-200,2,0,88.66,0
11.9,67.4,74,120,1010,24.79,53.24,103,0,1,1,1,93.7,0
11.4,70.5,80,152,1083,76.05,42,181,0,1.4,2,0,118.21,0
11.3,70.2,89,110,1235,65.44,50.1,108,1,2.2,1,1,111.11,0
12.4,63.9,114,110,1680,85.42,83.69,177,0,5.5,2,1,87.45,0
14.8,54.3,149,142,2184,74.37,38.88,111,1,8.1,2,0,69.07,1
17.4,45.6,157,130,1973,118.35,46.89,150,1,5.8,2,2,82.81,0
19.8,38.5,155,110,1798,41.94,70.96,143,1,4.2,1,1,86.22,0
22,34.1,134,126,1522,77.74,53.66,134,0,3.1,1,1,69.01,0
23.3,32.2,119,145,1404,78.27,45.49,146,1,2.9,1,0,80.39,0
23.9,30,111,130,1263,39.41,60.86,147,0,2.9,1,1,77.28,0
24.4,28.9,104,120,1137,93.18,51.93,120,1,2.5,1,0,59.41,0
24.4,29.4,99,130,1068,65.95,77.87,202,0,2.3,2,0,69.84,1
23.8,31.3,110,120,1252,50.13,57.59,162,0,2.8,2,0,69.26,1
22.5,35.4,162,108,1843,34.06,77.22,156,0,6.1,2,0,196.25,1
20.4,42.5,187,120,2122,22.27,45.29,144,1,8,0,0,36.76,0
18.3,52.6,165,145,1992,15.5,103.78,142,1,6.5,1,2,33.28,0
16.7,57.4,145,140,1707,20.13,25.14,157,0,4.2,2,1,43.11,1
15.7,60.2,125,120,1494,39.69,87.03,140,1,3.2,1,1,171.53,0
15.3,61.4,101,150,1164,54.69,89.6,171,0,1.4,2,0,107.96,1
14.1,65.7,103,120,1272,42.66,80.69,151,0,2.1,1,0,102.31,1
14.8,60.6,88,130,1040,27.96,44.75,152,0,1.2,0,0,126.48,1
14.8,59.2,61,138,867,31.9,38.11,169,0,0.8,2,4,133.78,1
13.6,62.1,-200,140,826,36.05,45.5,148,0,0.7,1,0,55.41,1
12.3,66.2,59,150,840,70.13,36.98,171,0,-200,2,0,73.22,1
12.8,63.2,52,130,793,17.66,43.58,149,0,0.6,2,0,85.77,1
11.2,68.5,64,135,870,38.76,45.49,132,0,0.9,1,0,108.29,1
11,66.5,70,129,930,52.07,38.06,163,0,1.3,2,0,89.47,1
11.7,63.7,97,108,1407,36.23,45.41,156,0,3.4,2,0,103.64,1
13.6,56.3,95,170,1507,17,37.71,146,1,3.7,1,2,59.29,0
17.8,42.9,150,132,1843,30.67,32.37,166,0,5.3,2,0,40.35,1
21.4,33.3,162,180,1729,41.12,34.74,154,1,4.1,2,0,48.65,1
24.4,27.4,154,138,1583,26.4,32.56,156,0,3.3,2,0,44.65,1
25.3,26.1,161,110,1671,41.96,29.28,153,0,4,2,0,34.95,1
25.8,23.2,161,152,1491,23.67,20.46,88,1,3.8,1,1,56.01,0
27,20.2,128,124,1240,14.46,26.07,136,1,2.8,1,0,106.2,0
28.2,18.6,129,134,1313,12.85,21.43,145,0,2.9,1,2,126.9,0
28,19.1,133,118,1363,14.91,11.91,174,0,2.9,2,0,127.47,1
23.9,25.7,139,112,1296,15.33,57.75,143,0,3.4,2,0,138.99,1
21.3,34.8,137,110,1432,46.82,66.39,114,1,3.9,1,0,117.69,0
20.4,36.7,143,120,1432,41.68,62.61,157,0,3.2,2,0,155.39,1
19,41.3,177,110,2034,71.97,47.5,158,0,5.1,2,0,153.75,0
17.9,45.9,138,152,1602,18.64,111.8,178,0,2.6,1,0,195.19,1
16.7,48.9,117,140,1362,7.76,30,182,0,1.7,2,0,188.14,1
15.5,52.9,107,114,1314,38.05,4.66,140,0,1.7,0,3,153.84,0
15.5,51.9,90,192,1114,23.84,48.72,195,0,1.2,2,1,212.8,0
14.1,55.6,79,125,992,48.05,49.7,171,0,0.9,2,2,335.86,0
13.1,57.9,-200,120,884,39.85,48.1,147,0,0.7,1,0,231.88,1
12.7,57.9,60,130,808,9.89,47.43,132,1,-200,2,3,208.83,0
11.8,58,40,108,667,3.13,51.74,156,0,0.5,2,0,188.75,1
11.9,57.4,53,140,733,0.76,42.68,178,1,0.5,2,0,175.79,1
9.9,65.2,84,120,1052,0.52,38.45,147,0,1.6,1,0,174.56,1
11.1,60.2,108,115,1534,1.02,46.69,160,0,4.1,1,0,154.68,1
14.1,50,127,120,1931,0.81,55.27,182,0,6.6,2,0,129.36,1
17.7,40.1,134,125,1734,1.05,149.03,162,1,4.3,2,3,118.57,0
21.1,33.4,135,100,1595,0.74,86.57,143,1,2.9,1,0,128.62,1
24.3,28.3,142,125,1490,0.87,111.77,162,1,2.5,2,3,83.85,0
25.6,25.6,153,124,1508,2.17,151.4,166,0,2.8,1,0,106.77,0
25.9,25.9,123,125,1334,4.11,51.35,144,1,2.6,1,1,148.8,0
26.8,18.7,104,170,1045,4.04,65.37,140,1,2,0,0,108.91,0
29.3,15.8,129,132,1221,4.01,56.28,105,1,2.9,1,1,81.3,0
28.5,14.9,114,120,1069,5.62,48.17,163,1,2.5,2,0,158.06,1
25.9,16,158,130,1569,4.1,33.56,162,0,5,2,1,93.24,1
23.1,26.5,194,112,2306,4.99,31.3,138,0,7.6,1,0,52.97,1
20.5,38.2,182,150,2359,10.86,48.12,171,0,6.7,2,0,135.53,1
19.1,42.6,180,130,2050,12.28,57.11,103,1,5.7,0,0,145.88,0
17.2,44.1,136,120,1727,11.09,34.72,169,0,2.8,0,0,111.98,1
16,50.9,127,94,1705,12.31,29.22,179,0,2.6,2,0,69.15,1
14.8,53.9,116,110,1551,13.91,29.79,126,1,2.3,1,1,112.61,0
14.3,55.4,107,200,1240,5.27,59.95,133,1,1.4,0,2,131.73,0
14.8,52.1,88,130,1115,8.09,19.2,103,1,1,0,0,171.65,0
13.9,53.9,-200,120,969,7.31,19.52,96,1,0.7,0,1,79.47,0
11.6,61.9,78,110,925,5.72,35.16,177,0,-200,2,1,92.32,0
12,58.9,57,134,828,6.78,33.03,150,1,0.6,1,2,107.67,0
10.9,62.1,71,140,893,9.33,40.95,144,1,0.7,2,2,133.46,0
10.6,63.3,85,110,1075,7.93,40.29,144,1,1.5,1,0,170.94,1
11.5,60,124,140,1610,10.05,41.16,170,0,4.7,1,2,217.53,0
14.3,50.6,151,130,2051,10.87,36.12,150,0,6.6,2,0,145.34,1
17.8,40.5,150,128,1819,10.28,28.51,170,0,4.5,2,0,116.2,1
20.8,34.4,152,165,1568,10.25,31.59,124,0,2.8,1,3,94.58,0
23.8,28.2,139,110,1374,12.7,42.56,114,1,2.2,1,0,133.55,0
24.2,28.7,133,125,1268,10.07,48.12,144,1,2.2,1,1,78.4,0
25.2,24.9,126,130,1144,11.09,37.09,147,0,2.3,1,1,94.91,0
27,17.8,128,125,1109,7.73,33.4,131,1,2.2,1,0,85.17,0
27.1,23.1,169,112,1347,7.8,38.64,179,0,2.8,2,0,93.8,1
25.8,23.9,149,130,1206,10,40.49,163,0,2.7,2,0,91.22,1
23,26.8,156,115,1397,16.31,41.37,160,0,3.7,1,0,95.86,1
20.7,31.1,168,160,1588,18.93,44.56,131,0,5.1,1,1,104.2,1
18.6,36.2,176,160,1569,18.99,65.68,108,1,5.1,1,3,98.67,0
16,48.4,135,150,1322,11.28,33.34,157,0,3.2,2,0,106.75,1
14.5,57.8,121,100,1194,10.29,39.17,156,0,2.1,2,1,101.44,0
13.1,64.2,99,115,1062,1.28,34,185,0,1.7,2,0,108.89,1
12,69.7,106,102,1040,14.58,36.38,160,0,2,2,1,89.99,1
11.9,71.1,96,144,917,13.62,38.35,126,1,1.6,1,0,87.26,0
12.5,69.3,63,124,594,13.58,38.5,163,0,0.9,2,0,86.39,1
12.5,67.5,-200,118,430,15.11,39.61,174,0,0.7,2,0,79.08,1
12.3,67.7,32,152,397,11.52,61.79,178,0,-200,1,0,76.39,1
12.5,66.8,28,170,370,11.23,43.22,155,0,0.5,1,0,83.5,1
12.3,66.3,61,146,438,11.56,33.41,152,0,0.7,1,1,99.48,1
12.4,64.9,99,148,704,14.7,36.9,178,0,1.5,2,2,121.86,1
13,61.6,157,126,1476,12.95,36.36,134,0,4.8,1,1,122.33,0
13.6,58.8,166,112,1716,19.8,32.64,179,0,6.2,2,0,157.33,1
13.9,57.1,149,138,1398,8.27,38.23,173,0,4,2,4,135.81,1
14.5,54.4,135,120,1268,13.48,39.86,103,0,3.3,1,1,123.59,0
15.5,50.1,127,120,1188,13.62,72.74,194,0,2.8,0,0,143.98,1
16.1,47.6,122,100,1171,5.69,43.2,125,1,3,1,2,118.19,0
16.3,47.1,135,150,1250,9.23,63.2,128,0,3.3,1,0,116.84,0
16.4,47.5,139,130,1344,6.28,64.73,162,0,3.5,2,1,92.57,1
16.1,50.2,147,128,1378,6.77,65.28,170,0,4,2,0,99.3,1
16,50.7,158,130,1435,8.66,67.86,171,0,4.6,2,0,93.92,1
15.8,50.3,146,135,1372,9.95,52.4,127,0,4.1,1,1,89.73,0
15.5,50.6,144,120,1471,9.74,33.33,182,0,4.5,2,0,102.4,1
15.4,51.4,138,140,1439,8.92,29.52,120,1,3.9,1,2,116.1,0
15.2,53.1,143,122,1429,11.73,15.53,116,1,4,1,2,155.63,0
14.7,57.6,116,130,1081,11.23,57.51,174,0,2.2,1,1,163.95,0
14.2,58.3,109,130,993,8.21,50.24,147,0,2.1,1,1,121.71,0
13.8,57.9,92,110,837,6.41,61.77,144,1,1.7,1,0,104.08,1
13.9,55.9,83,94,761,9.17,46.93,179,0,1.6,2,0,97.02,1
13.9,55.6,81,140,650,9.64,43.01,186,1,1.3,2,0,95.51,1
13.8,55.1,-200,150,591,10.65,42.06,165,0,1.3,2,0,98.1,1
13.8,54.6,55,118,505,9.33,44.94,126,0,-200,2,3,95.25,0
13.6,55.1,53,118,518,10.37,29.58,149,0,0.8,1,1,83.69,1
13.6,59,67,128,571,10.76,32.15,184,0,0.8,2,0,85.68,1
13.5,58.4,91,178,842,12.39,36.33,165,1,1.1,1,2,89.41,0
13.8,58,113,125,1145,11.68,24.46,171,0,2.1,2,2,115.57,0
14.6,53.1,102,120,1218,12.96,27.08,178,0,2.4,2,0,126.67,1
15,52.3,107,125,1341,4.73,59.29,141,1,2.6,1,1,131.62,0
15.4,52.1,113,126,1406,8.86,65.32,163,0,2.8,2,0,128.86,1
16.3,50,108,130,1422,7.05,47.39,163,0,2.6,2,0,128.99,1
17.1,47.9,105,170,1373,10.9,43.88,155,0,2.6,1,0,138.47,1
19,42.9,93,118,1153,10.02,28.35,126,0,2.1,2,3,110.41,0
19.5,42.3,87,124,927,4.23,3.59,141,0,1.7,2,0,109.44,0
19.5,42.3,76,117,766,5.96,3.04,160,1,1.6,2,2,161.09,0
19.1,43.8,94,150,941,3.69,19.14,154,1,2.1,1,0,118.44,0
18.5,46.3,110,132,1146,6.45,69.12,159,1,2.3,2,1,93.4,1
17.4,51.6,136,152,1417,6.13,76.41,150,0,3.5,1,0,108.83,0
17.1,51.3,139,138,1442,8.87,102.49,173,0,3.9,2,4,109.98,1
16.4,53.8,125,140,1323,9.89,127.94,155,0,3.3,1,0,152.94,0
16.2,55.4,111,125,1125,6.88,87.18,166,0,2.3,1,0,143.84,1
15.9,57.7,97,130,1036,8.56,99.73,188,0,2.1,2,0,44.53,1
15.7,58.6,107,192,1202,15.13,84.15,195,0,2.8,2,1,90.4,0
15.1,60.9,90,140,1054,8.73,92.12,120,1,2.1,1,2,79.32,0
15.6,56.6,84,138,903,11.63,94.02,152,0,1.6,1,0,219.84,1
15.2,57.9,-200,130,885,8.1,150.27,150,0,1.6,2,0,106.43,1
15.4,57.8,87,110,818,7.92,118.91,118,1,-200,1,1,79.23,0
14.9,60.6,66,112,700,11.58,91.41,138,0,1.1,1,0,82.86,1
14.5,63,36,132,580,11.63,95.9,132,1,0.7,1,1,123.03,0
14.2,66.2,62,165,815,5.85,137.87,124,0,0.8,1,3,121.82,0
14.5,65.3,91,120,1035,8.82,90.71,130,1,1.2,1,0,88.47,0
15.3,62.1,89,140,1067,9.2,108.68,157,0,1.4,1,0,96.12,1
16.3,59,93,138,1114,8.28,98.79,182,0,1.7,2,0,132.46,1
18.9,49.6,81,180,1000,12.59,145.75,154,1,1.8,2,0,191.09,1
19.4,46.1,82,120,906,9.51,179.43,182,1,1.8,1,0,85.43,0
20.8,41.6,80,120,822,5.98,170.52,151,0,1.9,1,0,66.54,1
21.4,40.3,48,120,610,3.69,203.4,169,0,1.3,2,0,73.99,1
21.2,39.3,61,150,657,7.72,92.71,165,0,1.6,2,0,92.88,1
20.3,38,89,122,647,4.83,64.66,186,0,1.9,2,0,109.84,1
19.4,41.3,105,132,762,7.47,78.14,166,0,2.3,2,0,125.19,1
18.5,43.8,116,170,1122,9.6,100.17,146,1,3.8,1,2,97.67,0
17.8,48.1,119,104,1130,13.73,147.35,148,1,3.5,1,0,106.14,1
17.9,46.9,144,123,1637,10.96,206.89,95,1,4.3,1,2,127.97,0
17.4,49.1,123,120,1272,15.63,114.84,71,0,2.8,1,0,137.39,0
17,51.7,105,132,1098,15.44,89.64,173,0,1.9,2,2,121.52,0
16.4,55.1,93,110,1066,27.32,51.72,130,0,1.9,2,1,127.71,1
16.1,60,86,110,909,25.59,54.59,161,0,1.7,2,0,160.18,1
15.8,60.5,76,120,818,6.98,46.5,173,0,1.5,2,0,124.4,1
16.3,57,33,138,472,32.74,122.54,152,0,0.6,1,0,116.45,1
16.9,53.9,-200,110,394,19.37,147.18,108,1,0.4,1,1,145.12,0
16.1,55.9,27,160,396,31.75,214.67,138,0,-200,2,0,164.2,1
16.5,53.9,23,130,378,24.88,207.13,103,1,0.3,0,0,182.12,0
16.4,54,46,132,432,26.35,191.01,168,1,0.6,2,0,116.51,1
15.7,57.6,76,130,699,79.47,192.35,188,0,1.2,2,0,136.02,1
15.8,53.7,116,160,1252,25.44,127.64,145,1,3.6,1,1,124.36,0
17.4,42.1,115,105,1237,30.06,33.02,168,0,3.7,2,1,147.78,1
17.9,38.4,83,130,772,21.89,27.29,175,0,1.8,1,0,163.52,1
18.5,36.7,87,122,766,17.89,41.43,174,0,1.6,2,0,217.94,1
21,29.6,90,130,829,22.59,30.16,172,0,1.9,2,0,164.24,1
21.3,28.1,87,110,783,26.09,29.42,144,1,2,1,0,133.31,1
21.3,26.1,99,132,822,24.66,20.87,173,0,2.2,2,2,97.03,0
21.3,26.8,99,110,813,39.15,35.08,130,0,2.1,2,1,104.74,1
21.3,24.2,101,140,813,34.03,40.23,133,0,2.3,2,0,141.39,1
20.2,28.5,103,160,850,94.3,54.25,162,0,2.6,2,2,193.22,1
17,43.1,129,120,1276,42.08,49.04,172,0,3.8,2,0,242.98,1
15.6,47.4,143,152,1401,34.4,35.87,181,0,4.4,2,0,177.11,0
15.3,47.4,146,138,1356,44.91,46.3,169,0,4.5,2,4,169.52,1
14.5,49.7,124,128,1243,27.73,39.15,130,1,3.3,1,2,136.6,0
13.9,52,113,150,1083,46.09,45.3,137,1,2,1,0,123.32,1
14.5,49.4,80,150,795,20.47,43.61,157,0,1.1,2,0,149.92,1
13.8,51.4,72,200,735,22.94,34.89,133,1,0.9,0,2,155.65,0
14,51.3,64,100,684,44.92,38.13,125,1,0.8,1,2,125.88,0
13,56.8,70,120,714,37.31,36.47,71,0,0.7,1,0,115.5,0
11,70,-200,150,456,19.08,40.9,111,1,0.5,2,0,128.08,0
10.1,76.8,31,122,401,13.73,34.19,174,0,-200,2,0,140.9,1
8.8,80.5,22,120,361,1.38,32.92,172,0,0.3,2,0,85.35,1
9.6,75.4,47,105,418,1.61,41.39,172,0,0.5,2,0,90.26,1
9.8,75,88,94,616,1.7,31.71,154,1,1.1,2,1,94.36,1
10,74.2,130,132,1089,1.6,33.48,166,0,3,2,0,80.79,1
11.2,69.7,132,145,1329,1.57,30.8,142,1,3.8,1,2,114.05,0
12,62.9,132,136,1311,1.6,30.47,169,0,3.4,1,0,97.7,1
12.8,55.8,131,120,1236,1.63,34.64,99,1,3,1,2,111.46,0
13.1,54.8,129,118,1147,1.69,43.71,149,0,2.7,1,1,115.8,1
13.8,53.4,132,120,1301,1.42,46.52,170,0,3.5,2,0,90.32,1
16,42.4,110,126,1097,1.44,36.54,134,0,2.8,1,1,112.92,0
14.1,49.8,99,140,900,1.53,36.87,153,0,1.9,1,0,124.58,1
12,61.1,100,120,781,1.8,46.19,140,1,2,1,1,162.86,0
13.6,54.6,122,130,1013,1.4,48.44,150,1,3,2,2,109.06,0
13.7,49.5,97,160,790,0.9,40.18,112,1,1.9,1,1,132.17,0
11.7,57.1,112,120,1059,1.32,33.5,121,1,2.7,2,1,122.17,1
11.5,58.2,128,140,1205,14.6,29.36,178,1,3.3,2,0,112.32,1
12.6,54.2,101,148,975,23.13,44.59,178,0,1.7,2,2,98.52,1
12,54.9,96,140,896,19.01,50.65,133,0,1.3,2,0,91.38,1
11,61.4,86,135,911,17.01,33.93,172,0,1.3,2,0,91.12,1
11.1,62.2,85,140,902,14.17,43.9,162,1,1.2,2,1,37.12,0
10.8,62.5,79,128,832,14.66,93.34,115,0,1.1,2,0,72.43,1
11.3,60,61,130,715,15.75,38.06,143,0,0.9,1,0,75.48,1
10.6,61.6,-200,130,683,15.47,20.19,139,0,0.6,2,0,89.1,1
10.2,62.7,66,142,721,14.26,10.45,147,1,-200,1,3,98.96,0
10.9,58.6,54,160,648,17.02,29.87,120,1,0.6,1,3,86.06,0
10.8,57.2,57,130,612,15.8,60.18,180,0,0.8,1,0,88.12,1
10.4,59.2,75,140,800,15.07,85.1,153,0,1.2,1,0,87.96,1
11,57.3,97,192,1173,15.37,55.55,195,0,3.1,2,1,84.83,0
11.2,56.9,110,150,1519,15,170.22,112,1,4.4,1,1,87.96,0
12.1,54.9,113,130,1287,16.78,35.05,109,0,3.4,1,3,95.3,0
15.1,44.3,88,128,966,13.74,37.68,115,0,1.7,2,0,104.5,1
15.6,40.6,85,120,828,14.31,32.78,170,0,1.5,2,0,90.07,1
16.9,34.6,96,108,825,15.67,53.5,169,1,1.7,1,2,89.74,0
16.6,35.6,106,130,872,14.63,48.24,187,0,2.2,0,0,78.56,1
11.3,63.9,91,110,680,14.95,63.27,158,0,-200,1,0,74.99,1
9.6,81.1,126,130,1002,15.31,40.43,132,1,2.7,1,2,72.83,0
11.7,69.1,130,150,1159,14.18,31.15,111,1,2.8,2,0,61.54,0
10.7,68.5,111,150,979,13.06,33.76,173,0,2.7,2,1,72.09,1
10.7,67.3,134,125,1311,19.54,35.95,152,0,4.5,0,1,64.81,1
10.8,65.7,136,130,1071,14.6,58.07,142,1,3.5,1,1,81.47,0
10.3,66.3,125,130,899,23.13,46.04,144,1,2.6,2,1,76.25,0
10.1,66.9,108,138,766,19.01,52.27,173,0,1.7,2,4,107.31,1
10.4,61.1,87,120,589,17.01,46.68,169,0,1.3,2,0,65.12,1
10.3,59.9,89,155,631,14.17,44.59,148,0,1.3,2,0,77.98,1
11,58.4,58,172,479,14.66,30.81,162,0,1,2,0,73.99,1
9.1,68.1,54,120,479,15.75,47.67,182,0,0.7,2,0,94.34,1
9.5,68.2,-200,160,417,15.47,35.69,120,1,0.7,1,3,81.09,0
9.3,72.3,28,150,378,14.26,36.44,128,0,0.5,1,0,82.36,0
